"YEAR","January","February","March","April","May","June","July","August","September","October","November","December","MEAN"
1984,6.58354348162039,5.78908368975517,5.44994105554339,6.42950321323403,8.84703554032698,11.8509520720298,14.1124158109918,15.8709275801848,14.0494646144211,12.1748554787247,10.6473288245222,8.92324794031858,10.0606916084727
1985,6.36070322886663,5.44332218210764,5.39711507797372,6.46556033877878,8.19828294876551,11.7061334921465,14.6752298676341,14.7403669870027,13.4774052528121,12.4951023039723,9.67847999452075,7.99126058848846,9.7190801885891
1986,6.41570345199181,5.12273258021178,5.22195889945133,6.09203817070137,8.65906695677585,11.6228574039116,14.6032665752896,14.7759985267831,12.7073543961828,11.6412955451634,10.0340231509754,8.60106245355698,9.62477984258292
1987,6.12411512494078,5.28671446838469,5.09593633868986,6.46527934579282,8.42538719661636,10.8642101583233,13.8636700180094,14.2088326437842,13.8483433631006,12.1024730784424,10.2627976932598,8.21333193482537,9.56342428034747
1988,7.59656286194742,6.70563389070821,6.12875014229995,7.00061816454354,9.51233428070817,12.6165530892321,15.013995671492,15.0909777125085,14.4604598874705,12.2653619162598,9.77282862584663,8.13420873244215,10.3581904146216
1989,7.53796602810323,7.26642679338126,7.26379866444915,7.71758823452114,10.1591519441926,13.4614155375801,15.017309433695,15.1663443446815,14.5285890071965,12.6528695186618,10.8363880359765,8.61194512832821,10.8516493892306
1990,7.85920968286394,7.65833547724648,7.66469386409038,8.21139290886498,10.7240846960583,13.0588905010224,14.7661618624659,16.0850376605991,14.3889361132709,12.4154048239756,10.1470744085523,8.22049455151267,10.9333097125436
1991,7.11270629083055,6.04864110786267,6.45707915142678,7.62517931601873,9.03472465272523,11.422341226255,14.9423711261057,16.3717419338426,14.900346683438,12.5244524817396,9.78539584593833,8.27633122793533,10.3751092536765
1992,7.22167445312779,6.70197972504115,6.80642658896774,7.51449938984418,9.84306764683736,14.1365626469063,15.4873448581597,15.4805071410203,14.0902617863021,12.0085365177026,9.41664097002737,8.11637736851103,10.5686565910373
1993,7.02953035010733,6.51848278379984,6.30808749308799,7.52195586731499,10.0971616690292,12.3334106509066,13.7366410185845,14.3307671402455,13.680084509247,11.4812514591234,9.19454533631078,7.55083827941359,9.98189637976423
