"YEAR","January","February","March","April","May","June","July","August","September","October","November","December","MEAN"
1971,6.79395752340042,6.36125289121116,5.92203944646285,6.86649097837266,9.29268357654838,11.9715649942978,14.4212827117646,15.2431157367335,14.152094274078,12.5787421841541,10.1542076895599,8.49068270498641,10.1873428926308
1972,6.98906362711999,6.02230472589415,6.14403609668808,7.2706406273436,9.12214248594311,11.9347494673807,14.9278325922907,15.1696546547928,13.741326126203,11.8370959410046,9.97447468482128,8.76720238747237,10.1583769514129
1973,7.60404537377944,6.95065538054692,6.86842486803712,7.42123010896383,9.20494973499009,12.4995700027266,15.367933568919,15.3566853673622,14.4445465808216,11.9426002987381,9.71734977515548,7.53007243194619,10.4090052909989
1974,7.16224371592245,6.86726635661263,6.80729613414534,8.05146745534614,9.84987199538123,12.6327862997811,14.52187385127,15.1408289439528,14.5071700616962,11.6668351895788,9.6492681778837,8.39531035703561,10.4376848782172
1975,7.69612165788788,6.92888653765408,6.62238064975055,7.03755330411272,9.09640805824288,11.8450684208226,14.6714422228046,16.5909559614104,14.9045711874921,12.2914599132703,10.4856272848218,8.50444600870543,10.5562434339146
1976,6.93035478720253,5.91311377346787,5.8314581174745,6.59327740189992,9.09491530818895,12.2376954553003,15.7601241240377,16.0403681830113,14.0703170878082,12.4080285020205,10.2628373339485,8.16046730333557,10.2752464481413
1977,6.50096422542671,5.95356648417003,6.27880472707952,6.76241330787339,8.95438320198837,11.7742288149135,14.0589544113549,14.9544344044926,13.5591249730699,12.1925891743912,10.4947644262888,8.24317890042228,9.97728392095594
1978,6.7829254685848,5.60304681878647,5.69849664027288,6.60111403287512,8.79203390841645,12.1563455055934,13.3267193674196,14.8988644622366,13.3259969211651,11.7365429298858,10.4306162629666,8.0763020701268,9.78575036569413
1979,5.71752881492293,4.73079682116265,4.88629600528652,5.947856072454,7.78970329381672,11.8473188450633,13.2770509159942,14.3094525135962,13.5048722461937,12.0688153946856,9.66174420341692,8.33603548481897,9.33978921761764
1980,6.45828317036658,5.74790439742601,5.78409635464545,6.77121298774468,9.12995391948812,12.6432624941239,14.1471232552421,15.5111239242731,14.5894265925337,12.1090407265412,9.21468387043092,7.56857696581014,9.97289072155216
1981,6.03788639686769,5.57595053545105,5.53089641674615,6.80700977992118,9.09708087483519,11.6993760098059,13.8403218340159,14.6202681963873,14.0778091596254,11.6436054375223,9.39864915052383,7.04485405076491,9.61447565353889
1982,5.43114965324888,5.33928892248007,5.78123761376278,6.97851960769287,8.8602214407343,12.8702706252431,15.1320930777889,15.8710607606571,13.9138593596942,12.5743638760668,10.5277040212837,8.62697742649739,10.1588955320958
1983,7.258993257642,5.94975696384682,5.90182105383519,6.65205400833005,8.85561593337939,11.9328689738902,14.6503687118376,15.1634061346007,13.8626918607907,11.7456355460525,9.58838306238412,7.6758585907944,9.9364545081153
1984,6.42427769308154,5.64525829780575,5.30894854743113,6.29213037454343,8.74868441372385,11.8135997209736,14.0365300646749,15.7875087207159,13.9174595178514,12.0494597340019,10.5091257158459,8.79775258008325,9.94422794839437
1985,6.22368741439441,5.29901751251991,5.27309340141009,6.32327513399658,8.09126924585051,11.621177410174,14.6179984177185,14.6941173029023,13.351635466645,12.3211168046975,9.50011217784162,7.81761526405005,9.59450962935005
1986,6.25174915062828,4.98402010895889,5.1070345019446,5.98735622044569,8.58258953149801,11.5715388471804,14.5648247028301,14.7144904177254,12.572601969851,11.4754357010647,9.88788953571452,8.46841350323948,9.51399534925675
1987,5.98734007242096,5.15315598227568,4.95427674300985,6.33070481081926,8.29754964626349,10.761207326553,13.7783899639322,14.0906219272146,13.7017192100528,11.9511619496373,10.1210332975609,8.06475915466786,9.43266000703398
1988,7.4659196373437,6.58049597557919,5.99989788476108,6.86026895488817,9.39417269327581,12.5448077486767,14.9991317711682,15.0418875154286,14.3907645438712,12.1420888310667,9.59315302908825,7.97000049514605,10.2485490900245
